Ticker,Sector,Industry,Market_Cap,PE_Ratio,y25td_Return
GEHC,Health Care,Health Care Equipment,36671062016,16.6294,2.7047484921155687
GEV,Industrials,Heavy Electrical Equipment,188569518080,112.26904,104.85332772579119
GEN,Information Technology,Systems Software,15547412480,27.703295,-6.64173496503047
GNRC,Industrials,Electrical Components & Equipment,10002698240,32.59082,8.566877037096935
GD,Industrials,Aerospace & Defense,99031556096,23.760206,43.932717521382955
GIS,Consumer Staples,Packaged Foods & Meats,23856453632,9.615053,-25.37911277449481
GM,Consumer Discretionary,Automobile Manufacturers,82240479232,26.415901,69.89394157430566
GPC,Consumer Discretionary,Distributors,19389220864,23.989674,23.95649448941372
GILD,Health Care,Biotechnology,174916550656,21.821981,57.717713493397646
GPN,Financials,Transaction & Payment Processing Services,20653666304,11.192717,-33.29762901230326
GL,Financials,Life & Health Insurance,11129075712,9.970247,23.67750851382589
GDDY,Information Technology,Internet Services & Infrastructure,14377930752,17.936096,-47.79045972442279
GS,Financials,Investment Banking & Brokerage,281445826560,18.116133,64.99884855796779
HAL,Energy,Oil & Gas Equipment & Services,29210146816,22.839998,27.219230119261834
HIG,Financials,Property & Casualty Insurance,36343496704,10.663666,21.524599386642006
HAS,Consumer Discretionary,Leisure Products,12586827776,0.0,65.28343572410891
HCA,Health Care,Health Care Facilities,118363275264,17.855276,71.16169193453268
DOC,Real Estate,Health Care REITs,12307560448,0.0,-5.50023108076489
HSIC,Health Care,Health Care Distributors,9321902080,24.249212,12.137125199749894
HSY,Consumer Staples,Packaged Foods & Meats,38859714560,28.644245,17.254346785063827
HPE,Information Technology,"Technology Hardware, Storage & Peripherals",28825915392,0.0,3.317322337751935
HLT,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",69657337856,42.92319,21.10225285602452
HOLX,Health Care,Health Care Equipment,16788017152,30.200802,4.822970710206895
HD,Consumer Discretionary,Home Improvement Retail,378652721152,25.980873,0.35598266425377983
HON,Industrials,Industrial Conglomerates,148864548864,23.302744,6.200250580972277
HRL,Consumer Staples,Packaged Foods & Meats,13862703104,28.965517,-15.619388142340757
HST,Real Estate,Hotel & Resort REITs,12942390272,17.528303,14.445078992634059
HWM,Industrials,Aerospace & Defense,86750822400,60.542137,95.05642561238508
HPQ,Information Technology,"Technology Hardware, Storage & Peripherals",18105176064,7.309434,-37.70132894757425
HUBB,Industrials,Industrial Machinery & Supplies & Components,25729501184,30.296623,16.8055436523749
HUM,Health Care,Managed Health Care,25008379904,19.45089,-16.550236030390465
HBAN,Financials,Regional Banks,27448819712,12.539569,11.493669205784181
HII,Industrials,Aerospace & Defense,16590884864,29.157932,130.6328552337566
IBM,Information Technology,IT Consulting & Other Services,274681282560,34.983334,37.06129110452777
IEX,Industrials,Industrial Machinery & Supplies & Components,14669728768,30.879557,-3.657497635515017
IDXX,Health Care,Health Care Equipment,55583260672,54.964397,69.92784386166748
ITW,Industrials,Industrial Machinery & Supplies & Components,75408138240,25.066862,6.06030160436345
INCY,Health Care,Biotechnology,20313509888,17.537289,48.81346618333634
IR,Industrials,Industrial Machinery & Supplies & Components,34288226304,63.9037,-4.60060950556683
PODD,Health Care,Health Care Equipment,18647687168,77.45906,3.1380172735310006
INTC,Information Technology,Semiconductors,219430338560,0.0,117.2601473639111
IBKR,Financials,Investment Banking & Brokerage,128311287808,34.0,66.30902874786888
ICE,Financials,Financial Exchanges & Data,99189473280,31.562843,17.34480981663811
IFF,Materials,Specialty Chemicals,18762776576,0.0,-9.82919026155582
IP,Materials,Paper & Plastic Packaging Products & Materials,22283216896,0.0,-17.37970216898431
INTU,Information Technology,Application Software,151839358976,37.458794,-11.685336202361354
ISRG,Health Care,Health Care Equipment,188214493184,66.62944,0.19272726256238856
IVZ,Financials,Asset Management & Custody Banks,12112375808,0.0,60.69094684761228
INVH,Real Estate,Single-Family Residential REITs,16410561536,28.178947,-11.499225699646374
IQV,Health Care,Life Sciences Tools & Services,41049112576,33.10989,23.534234992864842
IRM,Real Estate,Other Specialized REITs,27111469056,169.85185,-9.272312099785692
JBHT,Industrials,Cargo Ground Transportation,19317897216,33.09625,19.88241447589858
JBL,Information Technology,Electronic Manufacturing Services,25881067520,37.85625,69.919506325726
JKHY,Financials,Transaction & Payment Processing Services,13004165120,27.156298,4.857228941514737
J,Industrials,Construction & Engineering,16241323008,53.01163,4.893741267006663
JNJ,Health Care,Pharmaceuticals,540742189056,20.366606,60.609825754242905
JCI,Industrials,Building Products,71587258368,44.47148,49.35037251907654
JPM,Financials,Diversified Banks,817522606080,14.99301,28.354403979230465
KVUE,Consumer Staples,Personal Care Products,33528334336,23.333334,-14.354289230511883
KDP,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,37483311104,23.784483,-9.74642831828723
KEY,Financials,Regional Banks,23657525248,14.118421,32.47219651232052
KEYS,Information Technology,Electronic Equipment & Instruments,37425205248,43.477047,35.42651845541282
KMB,Consumer Staples,Household Products,33401722880,20.707819,-19.80377313157567
KIM,Real Estate,Retail REITs,14180466688,25.228916,-4.386130691148817
KMI,Energy,Oil & Gas Storage & Transportation,65830658048,21.59854,9.904260049832693
KKR,Financials,Asset Management & Custody Banks,107406950400,48.739494,-21.80496540345832
KLAC,Information Technology,Semiconductor Materials & Equipment,212845641728,50.76413,156.0625450530048
KHC,Consumer Staples,Packaged Foods & Meats,28052637696,0.0,-18.36846859932802
KR,Consumer Staples,Food Retail,41158942720,54.964603,2.311505661743909
LHX,Industrials,Aerospace & Defense,67455160320,38.767742,77.20224980827372
LH,Health Care,Health Care Services,22530072576,26.606478,20.131326830996485
LRCX,Information Technology,Semiconductor Materials & Equipment,300705775616,52.640175,232.19746851049402
LW,Consumer Staples,Packaged Foods & Meats,6277829120,16.322464,-30.01356279099316
LVS,Consumer Discretionary,Casinos & Gaming,41427476480,27.184683,23.535839659118203
LDOS,Industrials,Diversified Support Services,24010846208,17.490654,31.93212408893073
LEN,Consumer Discretionary,Homebuilding,27184091136,13.793233,-13.93711968937154
LII,Industrials,Building Products,17519990784,21.055296,-16.693936412138736
LLY,Health Care,Pharmaceuticals,931875782656,51.031418,34.597603607154944
LIN,Materials,Industrial Gases,212430094336,30.30301,10.855448398206853
LYV,Communication Services,Movies & Entertainment,34088318976,106.376816,13.595920378471824
LMT,Industrials,Aerospace & Defense,138900045824,33.10796,27.006265191476942
L,Financials,Multi-line Insurance,21219721216,14.826087,21.881562238953443
LOW,Consumer Discretionary,Home Improvement Retail,153667059712,22.677153,13.645622702573156
LULU,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",22103832576,12.9527445,-49.93688039217518
LYB,Materials,Specialty Chemicals,16232053760,0.0,-23.884013291472748
MTB,Financials,Regional Banks,33987010560,12.786009,18.73891255460157
MPC,Energy,Oil & Gas Refining & Marketing,52227649536,18.275532,24.110931410543383
MAR,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",85224185856,33.117092,15.509097725560189
MRSH,Financials,Insurance Brokers,88089190400,21.510204,-13.86231925944161
MLM,Materials,Construction Materials,39154413568,33.329056,27.89892469821482
MAS,Industrials,Building Products,14062954496,17.179028,-4.460731598006331
MA,Financials,Transaction & Payment Processing Services,470456762368,33.2318,0.3419186444515656
MTCH,Communication Services,Interactive Media & Services,7632534016,14.822429,0.14419681872166804
MKC,Consumer Staples,Packaged Foods & Meats,17021668352,21.641638,-14.24929609579494
MCD,Consumer Discretionary,Restaurants,224164560896,26.8029,9.896057203022943
MCK,Health Care,Health Care Distributors,103758970880,26.10892,47.950397577577256
MDT,Health Care,Health Care Equipment,129146617856,27.287264,28.531273452630384
MRK,Health Care,Pharmaceuticals,269560774656,14.256274,12.914351051941853
META,Communication Services,Interactive Media & Services,1696239452160,29.764261,12.658036042798027
MET,Financials,Life & Health Insurance,51000848384,14.442562,-3.5056033861266878
MTD,Health Care,Life Sciences Tools & Services,29357340672,35.585022,16.743395166104534
MGM,Consumer Discretionary,Casinos & Gaming,9156995072,167.4,-0.534760267355201
MCHP,Information Technology,Semiconductors,40619986944,0.0,36.308333830870176
MU,Information Technology,Semiconductors,461728907264,39.070477,371.29790035644265
MSFT,Information Technology,Systems Software,3572231045120,34.132103,15.658924806049534
MAA,Real Estate,Multi-Family Residential REITs,16171830272,28.544493,-6.879807855065313
MRNA,Health Care,Biotechnology,17758842880,0.0,8.214287530808221
MOH,Health Care,Managed Health Care,9979303936,11.337439,-35.90029195901525
TAP,Consumer Staples,Brewers,9583246336,0.0,-12.127202008205197
MDLZ,Consumer Staples,Packaged Foods & Meats,76368658432,22.104868,2.326931994101287
MPWR,Information Technology,Semiconductors,52481638400,28.089487,85.88795337646154
MNST,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,79539298304,46.255684,55.629901595981494
MCO,Financials,Financial Exchanges & Data,93063815168,41.676304,10.571572722118553
MS,Financials,Investment Banking & Brokerage,290303246336,17.890305,50.4846076365482
MOS,Materials,Fertilizers & Agricultural Chemicals,9027080192,7.367876,20.335924500959933
MSI,Information Technology,Communications Equipment,67654504448,32.564552,-10.607610831971375
MSCI,Financials,Financial Exchanges & Data,45007224832,36.889664,-1.3389036450623863
NDAQ,Financials,Financial Exchanges & Data,56518832128,35.178574,28.780594462269416
NTAP,Information Technology,"Technology Hardware, Storage & Peripherals",19939880960,17.40244,-11.652371089972016
NFLX,Communication Services,Movies & Entertainment,362630119424,33.826088,-3.488090863388206
NEM,Materials,Gold,139503108096,19.751167,236.59948889732775
NWSA,Communication Services,Publishing,15597916160,32.108433,-2.2559118199462294
NWS,Communication Services,Publishing,17144651776,37.156628,2.193711345640368
NEE,Utilities,Multi-Utilities,181499428864,26.489363,25.49714962603845
NKE,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",93397385216,36.894737,-12.349569863455681
NI,Utilities,Multi-Utilities,21006792704,23.363157,25.537854610015152
NDSN,Industrials,Industrial Machinery & Supplies & Components,15255450624,32.15059,35.28001578370761
NSC,Industrials,Rail Transportation,64841003008,22.025152,25.80898203871273
NTRS,Financials,Asset Management & Custody Banks,28360042496,17.157896,49.61013413760484
NOC,Industrials,Aerospace & Defense,97184014336,23.364544,47.54513384271818
NCLH,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",9496672256,15.0071945,-19.52160282040348
NRG,Utilities,Independent Power Producers & Energy Traders,30182940672,23.324364,70.52830281496082
NUE,Materials,Steel,39725285376,23.082447,54.096064493175064
NVDA,Information Technology,Semiconductors,4589896597504,46.779156,36.339802059302755
NVR,Consumer Discretionary,Homebuilding,20722616320,16.501486,-6.134381858910445
NXPI,Information Technology,Semiconductors,57840128000,28.323456,13.345908334917711
ORLY,Consumer Discretionary,Automotive Retail,85127774208,34.9375,27.076482545232544
OXY,Energy,Oil & Gas Exploration & Production,43891122176,32.75735,-8.590472929907763
ODFL,Industrials,Cargo Ground Transportation,36661731328,35.098595,-0.019668806680642685
OMC,Communication Services,Advertising,24761976832,11.508849,-6.338605301150535
ON,Information Technology,Semiconductors,25614041088,85.79452,1.4908475081699801
OKE,Energy,Oil & Gas Storage & Transportation,48957227008,14.290441,-19.59165381837052
ORCL,Information Technology,Application Software,502510419968,32.87594,6.671407929995576
OTIS,Industrials,Industrial Machinery & Supplies & Components,35538632704,26.710915,-0.07471304432165708
PCAR,Industrials,Construction Machinery & Heavy Transportation Equipment,63449935872,26.787138,19.872896095396815
PKG,Materials,Paper & Plastic Packaging Products & Materials,20121055232,22.565086,1.7898849116601243
PLTR,Information Technology,Application Software,394935369728,385.34882,120.37503865938587
PANW,Information Technology,Systems Software,127899500544,116.13924,1.5270523530775957
PSKY,Communication Services,Movies & Entertainment,12741579776,385.0,10.816903021954845
PH,Industrials,Industrial Machinery & Supplies & Components,117176008704,32.99964,48.52559552078264
PAYX,Industrials,Human Resource & Employment Services,37670047744,23.74208,-21.855022665669026
PAYC,Industrials,Human Resource & Employment Services,7999124992,17.663355,-28.893508640388514
PYPL,Financials,Transaction & Payment Processing Services,53033054208,11.146586,-35.43940086596558
PNR,Industrials,Industrial Machinery & Supplies & Components,17639004160,27.379133,8.530997561787194
PEP,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,203691311104,28.231499,3.006098104647718
PFE,Health Care,Pharmaceuticals,150671261696,15.406977,8.581155114015578
PCG,Utilities,Multi-Utilities,33342302208,12.747899,-23.576232464267445
PM,Consumer Staples,Tobacco,278451552256,25.517832,52.931475347517875
PSX,Energy,Oil & Gas Refining & Marketing,56581435392,37.738544,26.968599342151826
PNW,Utilities,Multi-Utilities,11341862912,19.538145,16.997883552827908
PNC,Financials,Diversified Banks,90445012992,13.4759035,22.138340278892652
POOL,Consumer Discretionary,Distributors,9869120512,24.085611,-19.24866945378999
PPG,Materials,Specialty Chemicals,24890195968,15.959479,-1.928434167417008
PPL,Utilities,Electric Utilities,27163224064,24.979591,17.807561145561657
